jjit,name,qjzf,qjfh,twice,date,jz,ljjz1,endtime ,dwjz,ljjz,bejintime,shouxufei
015107,百嘉百顺纯债债券C,169.061115,0.6881,3,2022-03-04,1,1,2022-10-21,1.9941,2.6822,2022-03-04,1
015106,百嘉百顺纯债债券A,166.597812,0.6786,3,2022-03-04,1,1,2022-10-21,1.9786,2.6572,2022-03-04,1
007189,南华价值启航纯债债券A,145.2774,0.04,1,2021-10-25,1.0248,1.0548,2022-10-21,2.4176,2.4876,2019-11-22,4
007190,南华价值启航纯债债券C,144.6416,0.04,1,2021-10-25,1.0407,1.0707,2022-10-21,2.4501,2.5201,2019-11-22,4
013706,同泰泰和三个月定开债A,111.823259,0.032,2,2021-10-29,1,1,2022-10-21,2.0524,2.0844,2021-10-29,6
013707,同泰泰和三个月定开债C,111.662165,0.032,2,2021-10-29,1,1,2022-10-21,2.0508,2.0828,2021-10-29,6
162719,广发道琼斯石油指数人民币A,67.9378,,0,2021-10-25,1.3767,1.3767,2022-10-21,2.312,2.312,2017-02-28,1
004243,广发道琼斯石油指数人民币C,67.1853,,0,2021-10-25,1.3753,1.3753,2022-10-21,2.2993,2.2993,2017-02-28,1
519212,万家宏观择时多策略混合,53.9609,,0,2021-10-25,1.3469,1.3469,2022-10-21,2.0737,2.0737,2017-03-30,1
008652,长城中债1-3年政金债A,51.5537,0.1485,2,2021-10-25,1.0163,1.0163,2022-10-21,1.3916,1.5401,2020-08-11,1
008653,长城中债1-3年政金债C,51.5456,,0,2021-10-25,1.0158,1.0158,2022-10-21,1.5394,1.5394,2020-08-11,6
006679,广发道琼斯石油指数美元现汇A,50.7892,,0,2021-10-25,0.2154,0.2154,2022-10-21,0.3248,0.3248,2019-01-28,
006680,广发道琼斯石油指数美元现汇C,50.1627,,0,2021-10-25,0.2151,0.2151,2022-10-21,0.323,0.323,2019-01-28,
162411,华宝标普油气上游股票人民币A,49.9529,,0,2021-10-25,0.5305,0.5305,2022-10-21,0.7955,0.7955,2011-09-29,1
163208,诺安油气能源,49.7970,,0,2021-10-25,0.739,0.739,2022-10-21,1.107,1.107,2011-09-27,1
004685,金元顺安元启灵活配置混合,49.0374,,0,2021-10-25,2.2283,2.2283,2022-10-21,3.321,3.321,2017-11-14,4
007844,华宝标普油气上游股票人民币C,48.9459,,0,2021-10-25,0.5265,0.5265,2022-10-21,0.7842,0.7842,2020-01-15,1
519191,万家新利灵活配置混合,48.0234,,0,2021-10-25,1.113,1.4756,2022-10-21,1.6475,2.0101,2014-01-24,1
159985,华夏饲料豆粕期货ETF,46.3563,,0,2021-10-25,1.2007,1.2007,2022-10-21,1.7573,1.7573,2019-09-24,
005513,南华瑞恒中短债债券A,43.0478,0.231,4,2021-10-25,1.0221,1.0221,2022-10-21,1.2302,1.4612,2019-01-29,4
005514,南华瑞恒中短债债券C,42.7150,0.231,4,2021-10-25,1.0241,1.0241,2022-10-21,1.2298,1.4608,2019-01-29,4
007937,华夏饲料豆粕期货ETF联接A,42.2144,,0,2021-10-25,1.1669,1.1669,2022-10-21,1.6595,1.6595,2020-01-13,1
519185,万家精选混合A,42.1611,,0,2021-10-25,1.1022,2.3485,2022-10-21,1.5669,2.8132,2009-05-18,1
007938,华夏饲料豆粕期货ETF联接C,41.7973,,0,2021-10-25,1.1606,1.1606,2022-10-21,1.6457,1.6457,2020-01-13,4
970085,国联汇富债券C,39.72,,0,2021-10-29,1,1,2022-10-21,1.3972,1.3972,2021-10-29,
001481,华宝标普油气上游股票美元A,34.5783,,0,2021-10-25,0.083,0.083,2022-10-21,0.1117,0.1117,2015-06-18,
160216,国泰大宗商品,33.8983,,0,2021-10-25,0.354,0.354,2022-10-21,0.474,0.474,2012-05-03,1
160723,嘉实原油(QDII-LOF),32.8401,,0,2021-10-25,1.1084,1.1084,2022-10-21,1.4724,1.4724,2017-04-20,4
501018,南方原油A,31.4014,,0,2021-10-25,0.9576,0.9576,2022-10-21,1.2583,1.2583,2016-06-15,4
014807,泰达宏利景气智选18个月持有混合A,30.96,,0,2022-03-29,1,1,2022-10-21,1.3096,1.3096,2022-03-29,3
014808,泰达宏利景气智选18个月持有混合C,30.74,,0,2022-03-29,1,1,2022-10-21,1.3074,1.3074,2022-03-29,3
006476,南方原油C,30.6099,,0,2021-10-25,0.951,0.951,2022-10-21,1.2421,1.2421,2018-10-08,4
160416,华安标普全球石油指数(LOF)A,30.3710,,0,2021-10-25,1.159,1.199,2022-10-21,1.511,1.551,2012-03-29,1
161129,易方达原油A类人民币,30.1190,,0,2021-10-25,0.9499,0.9499,2022-10-21,1.236,1.236,2016-12-19,4
003321,易方达原油C类人民币,29.4577,,0,2021-10-25,0.922,0.922,2022-10-21,1.1936,1.1936,2016-12-19,4
014982,华安标普全球石油指数(LOF)C,27.457627,,0,2022-02-22,1.18,1.18,2022-10-21,1.504,1.504,2022-02-22,1
012928,银华中证光伏ETF发起式联接A,27.41,,0,2022-04-20,1,1,2022-10-21,1.2741,1.2741,2022-04-20,1
012929,银华中证光伏ETF发起式联接C,27.25,,0,2022-04-20,1,1,2022-10-21,1.2725,1.2725,2022-04-20,1
003406,南方多元定开债券,27.0094,0.258,8,2021-10-25,1.2445,1.4052,2022-10-21,1.2591,1.6778,2016-09-29,6
165513,信诚全球商品主题,25.9740,,0,2021-10-25,0.462,0.462,2022-10-21,0.582,0.582,2011-12-20,1
002938,中银证券健康产业混合,25.4452,,0,2021-10-25,1.9823,1.9823,2022-10-21,2.4867,2.4867,2016-09-07,1
014263,鑫元长三角混合A,25.14,,0,2022-03-30,1,1,2022-10-21,1.2514,1.2514,2022-03-30,1
014264,鑫元长三角混合C,24.86,,0,2022-03-30,1,1,2022-10-21,1.2486,1.2486,2022-03-30,1
015773,招商移动互联网产业股票基金C,23.971288,,0,2022-05-13,1.1981,1.1981,2022-10-21,1.4853,1.4853,2022-05-13,1
001678,英大国企改革主题股票,23.4217,0.35,1,2021-10-25,1.6434,1.9434,2022-10-21,1.5573,2.2073,2018-11-22,1
015566,万家精选混合C,22.995199,,0,2022-04-25,1.2707,1.2707,2022-10-21,1.5629,1.5629,2022-04-25,1
014647,融通先进制造混合A,22.6,,0,2022-02-22,1,1,2022-10-21,1.226,1.226,2022-02-22,1
014648,融通先进制造混合C,22.17,,0,2022-02-22,1,1,2022-10-21,1.2217,1.2217,2022-02-22,1
161815,银华抗通胀主题,22.0758,,0,2021-10-25,0.607,0.607,2022-10-21,0.741,0.741,2010-12-06,1
159618,华安中证光伏产业ETF,21.34,,0,2022-04-08,1,1,2022-10-21,1.2134,1.2134,2022-04-08,
