cata1_name,cate2_name,cate3_name,cate3_link
居家生活,床品家纺,四件套,https://you.163.com/item/list?categoryId=1005000&subCategoryId=1008009
居家生活,床品家纺,乳胶枕,https://you.163.com/item/list?categoryId=1005000&subCategoryId=109329030
居家生活,床品家纺,枕头,https://you.163.com/item/list?categoryId=1005000&subCategoryId=109323016
居家生活,床品家纺,床笠枕套,https://you.163.com/item/list?categoryId=1005000&subCategoryId=109323013
居家生活,床品家纺,盖毯,https://you.163.com/item/list?categoryId=1005000&subCategoryId=109323017
居家生活,床品家纺,儿童床品,https://you.163.com/item/list?categoryId=1005000&subCategoryId=109323019
居家生活,床品家纺,被子,https://you.163.com/item/list?categoryId=1005000&subCategoryId=109329011
居家生活,床品家纺,毯子,https://you.163.com/item/list?categoryId=1005000&subCategoryId=109329014
居家生活,床品家纺,儿童床品,https://you.163.com/item/list?categoryId=1005000&subCategoryId=109329019
居家生活,床品家纺,四季款,https://you.163.com/item/list?categoryId=1005000&subCategoryId=109323008
居家生活,床品家纺,高支轻奢系列,https://you.163.com/item/list?categoryId=1005000&subCategoryId=109323011
居家生活,床品家纺,秋冬款,https://you.163.com/item/list?categoryId=1005000&subCategoryId=109323009
居家生活,办公家具,办公椅/工学椅,https://you.163.com/item/list?categoryId=1005000&subCategoryId=109323000
居家生活,办公家具,书桌/儿童学习书桌,https://you.163.com/item/list?categoryId=1005000&subCategoryId=109323001
居家生活,办公家具,升降台/支架,https://you.163.com/item/list?categoryId=1005000&subCategoryId=109323002
居家生活,床垫床褥,床垫,https://you.163.com/item/list?categoryId=1005000&subCategoryId=109323024
居家生活,床垫床褥,床褥,https://you.163.com/item/list?categoryId=1005000&subCategoryId=109323025
居家生活,床垫床褥,床单床笠,https://you.163.com/item/list?categoryId=1005000&subCategoryId=109329009
居家生活,床垫床褥,乳胶床垫,https://you.163.com/item/list?categoryId=1005000&subCategoryId=109329029
居家生活,毛巾布艺,毛巾/浴巾,https://you.163.com/item/list?categoryId=1005000&subCategoryId=109323020
居家生活,毛巾布艺,抱枕/坐垫,https://you.163.com/item/list?categoryId=1005000&subCategoryId=109323021
居家生活,毛巾布艺,地垫/地毯,https://you.163.com/item/list?categoryId=1005000&subCategoryId=109323022
居家生活,毛巾布艺,其他布艺,https://you.163.com/item/list?categoryId=1005000&subCategoryId=109323023
居家生活,生活电器,厨房电器,https://you.163.com/item/list?categoryId=1005000&subCategoryId=109288007
居家生活,生活电器,取暖电器,https://you.163.com/item/list?categoryId=1005000&subCategoryId=109331001
居家生活,生活电器,电子马桶盖,https://you.163.com/item/list?categoryId=1005000&subCategoryId=109331002
居家生活,生活电器,空气净化,https://you.163.com/item/list?categoryId=1005000&subCategoryId=109331000
