标题,链接
python技能树,"https://bbs.csdn.net/skill/python?ops_request_misc=&request_id=&biz_id=&utm_medium=distribute.pc_search_result.none-task-skillTree-2~all~top_card~default-1-python-null-null.142^v66^control,201^v3^control_2,213^v2^t3_control1&utm_term=python"
python从入门到精通——完整教程,"https://blog.csdn.net/m0_58523831/article/details/120851261?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522166918402916782429786863%2522%252C%2522scm%2522%253A%252220140713.130102334..%2522%257D&request_id=166918402916782429786863&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~all~top_positive~default-2-120851261-null-null.142^v66^control,201^v3^control_2,213^v2^t3_control1&utm_term=python"
python烟花代码,"https://blog.csdn.net/weixin_50973371/article/details/111120569?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522166918402916782429786863%2522%252C%2522scm%2522%253A%252220140713.130102334..%2522%257D&request_id=166918402916782429786863&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~all~top_positive~default-3-111120569-null-null.142^v66^control,201^v3^control_2,213^v2^t3_control1&utm_term=python"
python实现樱花,"https://blog.csdn.net/weixin_57038822/article/details/123661469?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522166918402916782429786863%2522%252C%2522scm%2522%253A%252220140713.130102334..%2522%257D&request_id=166918402916782429786863&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~all~top_positive~default-4-123661469-null-null.142^v66^control,201^v3^control_2,213^v2^t3_control1&utm_term=python"
python表白玫瑰花绘制——情人节表白,"https://blog.csdn.net/weixin_44044161/article/details/117338282?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522166918402916782429786863%2522%252C%2522scm%2522%253A%252220140713.130102334..%2522%257D&request_id=166918402916782429786863&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~all~top_positive~default-5-117338282-null-null.142^v66^control,201^v3^control_2,213^v2^t3_control1&utm_term=python"
Python 基础（一）：入门必备知识,"https://blog.csdn.net/ityard/article/details/102807071?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522166918402916782429786863%2522%252C%2522scm%2522%253A%252220140713.130102334..%2522%257D&request_id=166918402916782429786863&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~all~top_positive~default-6-102807071-null-null.142^v66^control,201^v3^control_2,213^v2^t3_control1&utm_term=python"
Python基础教程，Python入门教程（非常详细）,"https://blog.csdn.net/qq_25729265/article/details/123367571?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522166918402916782429786863%2522%252C%2522scm%2522%253A%252220140713.130102334..%2522%257D&request_id=166918402916782429786863&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~all~top_click~default-7-123367571-null-null.142^v66^control,201^v3^control_2,213^v2^t3_control1&utm_term=python"
python3.8安装包,"https://download.csdn.net/download/a876106354/19564705?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522166918402916782429786863%2522%252C%2522scm%2522%253A%252220140713.130102334..%2522%257D&request_id=166918402916782429786863&biz_id=1&utm_medium=distribute.pc_search_result.none-task-download-2~all~top_click~default-8-19564705-null-null.142^v66^control,201^v3^control_2,213^v2^t3_control1&utm_term=python"
《Python 快速入门》C站最全Python标准库总结,"https://blog.csdn.net/weixin_39032019/article/details/118190807?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522166918403016782395380299%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fblog.%2522%257D&request_id=166918403016782395380299&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~blog~first_rank_ecpm_v1~rank_v31_ecpm-9-118190807-null-null.142^v66^control,201^v3^control_2,213^v2^t3_control1&utm_term=python"
python,"https://blog.csdn.net/upydwqpaso/article/details/81778936?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522166918403016782395380299%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fblog.%2522%257D&request_id=166918403016782395380299&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~blog~first_rank_ecpm_v1~rank_v31_ecpm-10-81778936-null-null.142^v66^control,201^v3^control_2,213^v2^t3_control1&utm_term=python"
